mean,hdi_5.5%,hdi_94.5%,time

0.993,0.985,1.0,5.1020408163265305
0.984,0.963,1.0,10.204081632653061
0.971,0.938,1.0,15.306122448979592
0.957,0.912,1.0,20.408163265306122
0.941,0.883,0.998,25.51020408163265
0.925,0.854,0.995,30.612244897959183
0.908,0.825,0.992,35.714285714285715
0.892,0.798,0.989,40.816326530612244
0.875,0.772,0.986,45.91836734693877
0.858,0.748,0.983,51.0204081632653
0.842,0.714,0.968,56.12244897959184
0.827,0.694,0.964,61.224489795918366
0.812,0.669,0.953,66.3265306122449
0.797,0.649,0.945,71.42857142857143
0.783,0.63,0.937,76.53061224489795
0.769,0.609,0.926,81.63265306122449
0.756,0.59,0.917,86.73469387755102
0.743,0.575,0.909,91.83673469387755
0.731,0.561,0.903,96.93877551020408
0.719,0.54,0.888,102.0408163265306
0.707,0.529,0.882,107.14285714285714
0.696,0.516,0.874,112.24489795918367
0.686,0.504,0.867,117.3469387755102
0.675,0.484,0.849,122.44897959183673
0.665,0.475,0.842,127.55102040816327
0.656,0.466,0.836,132.6530612244898
0.646,0.457,0.829,137.75510204081633
0.637,0.448,0.823,142.85714285714286
0.629,0.43,0.808,147.9591836734694
0.62,0.42,0.798,153.0612244897959
0.612,0.411,0.792,158.16326530612244
0.604,0.404,0.787,163.26530612244898
0.597,0.394,0.777,168.3673469387755
0.589,0.387,0.771,173.46938775510205
0.582,0.377,0.763,178.57142857142856
0.575,0.37,0.757,183.6734693877551
0.568,0.369,0.756,188.77551020408163
0.561,0.361,0.748,193.87755102040816
0.555,0.369,0.757,198.9795918367347
0.549,0.361,0.749,204.0816326530612
0.543,0.358,0.746,209.18367346938774
0.537,0.35,0.738,214.28571428571428
0.531,0.345,0.732,219.3877551020408
0.525,0.338,0.726,224.48979591836735
0.52,0.327,0.715,229.59183673469389
0.514,0.331,0.719,234.6938775510204
0.509,0.316,0.704,239.79591836734693
0.504,0.315,0.702,244.89795918367346
0.499,0.31,0.697,250.0
