mean,hdi_5.5%,hdi_94.5%,time

0.008,0.002,0.015,5.1020408163265305
0.011,0.004,0.018,10.204081632653061
0.012,0.006,0.019,15.306122448979592
0.012,0.006,0.017,20.408163265306122
0.012,0.007,0.016,25.51020408163265
0.011,0.007,0.015,30.612244897959183
0.01,0.006,0.014,35.714285714285715
0.01,0.006,0.013,40.816326530612244
0.009,0.005,0.013,45.91836734693877
0.009,0.005,0.012,51.0204081632653
0.008,0.005,0.012,56.12244897959184
0.008,0.005,0.011,61.224489795918366
0.007,0.004,0.011,66.3265306122449
0.007,0.004,0.01,71.42857142857143
0.007,0.004,0.01,76.53061224489795
0.006,0.003,0.009,81.63265306122449
0.006,0.003,0.009,86.73469387755102
0.006,0.003,0.009,91.83673469387755
0.006,0.003,0.008,96.93877551020408
0.005,0.003,0.008,102.0408163265306
0.005,0.003,0.008,107.14285714285714
0.005,0.002,0.008,112.24489795918367
0.005,0.002,0.007,117.3469387755102
0.005,0.002,0.007,122.44897959183673
0.005,0.002,0.007,127.55102040816327
0.004,0.002,0.007,132.6530612244898
0.004,0.002,0.007,137.75510204081633
0.004,0.002,0.006,142.85714285714286
0.004,0.002,0.006,147.9591836734694
0.004,0.002,0.006,153.0612244897959
0.004,0.002,0.006,158.16326530612244
0.004,0.002,0.006,163.26530612244898
0.004,0.002,0.006,168.3673469387755
0.004,0.002,0.006,173.46938775510205
0.004,0.002,0.006,178.57142857142856
0.003,0.001,0.005,183.6734693877551
0.003,0.001,0.005,188.77551020408163
0.003,0.001,0.005,193.87755102040816
0.003,0.001,0.005,198.9795918367347
0.003,0.001,0.005,204.0816326530612
0.003,0.001,0.005,209.18367346938774
0.003,0.001,0.005,214.28571428571428
0.003,0.001,0.005,219.3877551020408
0.003,0.001,0.005,224.48979591836735
0.003,0.001,0.004,229.59183673469389
0.003,0.001,0.004,234.6938775510204
0.003,0.001,0.004,239.79591836734693
0.003,0.001,0.004,244.89795918367346
0.003,0.001,0.004,250.0
